ROI,Set,Object Class,Mean green (44411C83-609B-4758-93D3-FF62DF246855),Standard deviation green (4B11667E-1449-440f-8D7B-0A4D90E62B3E),Mean red (44411C83-609B-4758-93D3-FF62DF246855),Standard deviation red (4B11667E-1449-440f-8D7B-0A4D90E62B3E),Mean LidarCHM (44411C83-609B-4758-93D3-FF62DF246855),Standard deviation LidarCHM (4B11667E-1449-440f-8D7B-0A4D90E62B3E),Mean VARI (44411C83-609B-4758-93D3-FF62DF246855),Compactness (1F03F8EB-A21A-4d53-B9DA-391FFE1B804D),Asymmetry (D9CC01FF-7C3D-4861-9608-38D8EB2D3CCC),Roundness (10DB8137-DB64-4e20-803F-9356BF3DB4A8),GLCM Mean (all dir.) (36BF5FD8-6AC1-4ef2-A967-255B5ACF270B),GLCM StdDev (all dir.) (A8922BC5-0EB5-416b-90C4-AF11449257FB)
B,Train,Grass,207.7895203,23.50703621,217.4139404,22.33724403,0.045005627,0.637074471,-0.016105864,1.591814399,0.898418844,0.734729707,126.9877167,36.14017868
B,Train,Grass,209.5805817,17.24256325,196.320694,20.11416435,0.004587199,0.165975884,0.023998804,2.178632259,0.798979342,1.367464542,126.1830368,36.70912933
B,Train,Grass,209.6656952,22.60211563,185.3580627,24.15707207,0.344202131,1.812835693,0.044542134,2.551726818,0.703979969,1.712677956,127.0490875,35.69740295
B,Train,Grass,209.754715,16.21426773,197.2716064,17.88886261,0,0,0.022233922,2.089748621,0.287763357,1.108069897,127.1957321,34.95980072
B,Train,Grass,210.1677399,31.70376778,208.5049438,29.30626297,0.102900572,0.267636538,0.002884351,3.227549791,0.752495706,2.121291399,126.5716248,36.30088425
B,Train,Grass,210.9786072,43.07652664,205.8575897,44.29632187,0.564868748,1.119170547,0.009026776,2.455510855,0.415926784,1.529922843,127.2651215,36.2037735
B,Train,Grass,210.9962616,35.14453506,197.7510681,36.7416954,0.596692681,0.611214995,0.023915451,2.2975986,0.574027777,1.449749351,126.8822937,36.48774338
B,Train,Grass,211.1585541,27.18590355,202.4732819,28.50229263,0.641688526,2.885556459,0.015315926,2.529038668,0.85533154,1.504987478,126.1835098,36.48739624
B,Train,Grass,214.500473,16.2550087,182.0593414,17.61662292,0,0,0.059995316,1.735582352,0.308149874,1.053272009,127.0010834,34.84877777
B,Train,Grass,214.8993988,17.59467888,209.9554901,18.89868927,0,0,0.008447874,4.924530029,0.673807979,2.404039621,125.4125061,36.91450882
B,Train,Grass,215.3385773,18.25163651,225.3783875,17.43133354,0.046776924,0.443478137,-0.016201815,1.781647682,0.091049887,0.80780834,126.6352921,36.5703392
B,Train,Grass,215.3437958,27.23850632,207.3745422,26.54956627,0.198187113,0.984676242,0.013883173,2.03717351,0.820480406,1.086298823,126.9360504,35.86980057
B,Train,Grass,216.6776581,23.53160286,216.2426605,25.02093315,0,0,0.000720475,1.993510008,0.301188588,0.88172859,126.7836685,35.54090881
B,Train,Grass,218.0805054,24.98934555,221.6377869,22.3267746,0,0,-0.005811023,2.062023401,0.935034871,1.674479604,127.045372,35.49348831
B,Train,Grass,219.3850403,22.80025291,215.0969543,23.71993256,0,0,0.007154144,2.101750135,0.851440847,1.094518065,127.1639175,35.60197067
B,Train,Grass,220.760849,37.51557159,223.042099,36.87447357,0.131423816,0.361276418,-0.003681736,2.015549421,0.529037297,1.494372725,126.8409271,36.14715958
