Object Class;Mean green (44411C83-609B-4758-93D3-FF62DF246855);Standard deviation green (4B11667E-1449-440f-8D7B-0A4D90E62B3E);Mean red (44411C83-609B-4758-93D3-FF62DF246855);Standard deviation red (4B11667E-1449-440f-8D7B-0A4D90E62B3E);Mean LidarCHM (44411C83-609B-4758-93D3-FF62DF246855);Standard deviation LidarCHM (4B11667E-1449-440f-8D7B-0A4D90E62B3E);Mean VARI (44411C83-609B-4758-93D3-FF62DF246855);Compactness (1F03F8EB-A21A-4d53-B9DA-391FFE1B804D);Asymmetry (D9CC01FF-7C3D-4861-9608-38D8EB2D3CCC);Roundness (10DB8137-DB64-4e20-803F-9356BF3DB4A8);GLCM Mean (all dir.) (36BF5FD8-6AC1-4ef2-A967-255B5ACF270B);GLCM StdDev (all dir.) (A8922BC5-0EB5-416b-90C4-AF11449257FB)
Lantana camara;82.3250579833984;43.651927947998;84.7792892456055;48.2126197814941;0.507152318954468;0.505547225475311;-0.00870290026068687;2.81862497329712;0.841152489185333;1.72059237957001;130.16081237793;38.794750213623
Lantana camara;152.501892089844;28.6896877288818;190.696517944336;28.8638725280762;1.5607625246048;0.543453216552734;-0.0691176131367683;2.18533396720886;0.379419147968292;1.20938098430634;126.894348144531;36.5376434326172
Lantana camara;127.90648651123;42.5552139282227;138.956787109375;45.6362190246582;2.9846339225769;3.50755023956299;-0.0248721037060022;3.8257577419281;0.931251049041748;2.2159206867218;127.371971130371;37.2863960266113
Lantana camara;148.129470825195;40.1714782714844;173.023010253906;43.1074371337891;2.50308680534363;2.17726945877075;-0.0469560399651527;2.53055953979492;0.794794380664825;1.86728954315186;125.618705749512;37.1399765014648
Lantana camara;102.872032165527;44.4358901977539;123.928047180176;49.8676071166992;1.91323471069336;1.33437705039978;-0.0557428747415543;3.75313472747803;0.681761384010315;2.06501913070679;128.230941772461;37.3580322265625
Lantana camara;66.1271514892578;30.6420135498047;63.0262985229492;32.8994026184082;3.74863982200623;1.85612630844116;0.0140662621706724;2.37245917320251;0.79501348733902;1.60801160335541;127.109466552734;36.4430732727051
Lantana camara;142.837448120117;39.0261344909668;189.735122680664;37.7416114807129;1.5780383348465;0.664649665355682;-0.0866292417049408;2.46087431907654;0.45299044251442;1.38040888309479;127.400772094727;36.4483070373535
Lantana camara;152.248626708984;36.0410804748535;157.987564086914;37.3377571105957;2.34235668182373;0.387160539627075;-0.0110184121876955;2.5666766166687;0.493634313344955;1.50633537769318;125.336669921875;37.4029884338379
Lantana camara;48.3252792358398;20.6776714324951;47.3987197875977;22.57883644104;1.08803999423981;0.888163268566132;0.0056680585257709;3.42726230621338;0.295207887887955;1.94784474372864;129.268142700195;37.2676048278809
Lantana camara;98.0244293212891;36.5914726257324;109.953384399414;41.7548027038574;3.00461053848267;5.42223691940308;-0.0360756553709507;2.90066766738892;0.684326708316803;1.74035394191742;127.680503845215;36.4094734191895
Lantana camara;70.9030456542969;30.5481510162354;88.2732620239258;33.3837051391602;0.709112167358398;1.15107882022858;-0.0644132494926453;3.69590544700623;0.791920721530914;2.19893407821655;130.539932250977;39.2392234802246
Grass;195.382217407227;20.0504970550537;235.335372924805;13.3009271621704;0.951174020767212;3.85406303405762;-0.0601033084094524;1.56566369533539;0.638941645622253;0.578091859817505;126.842445373535;33.970272064209
Grass;199.383407592773;17.5402641296387;241.295364379883;12.5558404922485;0;0;-0.0612787716090679;1.91991281509399;0.44474333524704;0.808442771434784;126.928825378418;34.4029731750488
Grass;208.302017211914;16.3039226531982;247.17073059082;8.90875816345215;0.0509561449289322;0.21309120953083;-0.0553360357880592;1.75510811805725;0.231731668114662;0.712591886520386;127.025894165039;32.2093811035156
